swahili_id,kitaifa,michezo,biashara,kimataifa,burudani
001dd47ac202d9db6624a5ff734a5e7dddafeaf2,0,0,0,0,0
0043d97f7690e9bc02f0ed8bb2b260d1d44bad92,0,0,0,0,0
00579c2307b5c11003d21c40c3ecff5e922c3fd8,0,0,0,0,0
00868eeee349e286303706ef0ffd851f39708d37,0,0,0,0,0
00a5cb12d3058dcf2e42f277eee599992db32412,0,0,0,0,0
00a93e174866089d7f4b59b72645573f963da555,0,0,0,0,0
00caee8b79f36cc0a5ae4fe86b8abbedeef6c705,0,0,0,0,0
00e72e69de296484ccacd96e38240844ac61be23,0,0,0,0,0
018effc3b6ce812c825fb01d244f4b849658ef3c,0,0,0,0,0
01996c3787dbce345ac122a8912dc9ab57334e2e,0,0,0,0,0
01a58fd93c05d8febbd10824b162ba00f51a9fcd,0,0,0,0,0
027063d6cb270ff8b60a4ced0c7d3835628286d5,0,0,0,0,0
02824fb4c78d076c52d71f21f50c7e33fac4a530,0,0,0,0,0
02c1bb0911f056f18e04a9e831b405cfa721b62e,0,0,0,0,0
032bcb8f892f50c0f4698d550e140474cc0a2e25,0,0,0,0,0
034185c116681f9afdefd8445f0a9896b9673f9d,0,0,0,0,0
0355be98526df7da1e8da43c81f012551fd53a74,0,0,0,0,0
03817b4b8fa61ee0176ac9c5cbf66fec86f2ed3a,0,0,0,0,0
0388b907e596357c5bbee251003dcdf97d679c89,0,0,0,0,0
0480c08ce9059abe99336f4b39a41f4562150848,0,0,0,0,0
04d7e75611796f3ce8ec460f1eb6bffa9da15676,0,0,0,0,0
050e737c0998f7ba049bc0f02d5a4b64e7f0625e,0,0,0,0,0
0516a757aad1d09f893091602ad05505b5e88401,0,0,0,0,0
05d499508761de20c4ae1f9fee1e204bd435edd9,0,0,0,0,0
05ea491371ea5305802da17a93f27ecf8e59bb49,0,0,0,0,0
05ee92945a93072bd98b56eaa9917e73584c0d2f,0,0,0,0,0
060017feb4ec0ef7415dad6cc02e33842dfcfbb2,0,0,0,0,0
0689b40d0a24ac5152e62aad9d112138e7aabe11,0,0,0,0,0
06bc918b17a76ca6f18a3341f7da78d1fd02a326,0,0,0,0,0
07556b566255f261f362d7b6dd317cf7c8722507,0,0,0,0,0
075bbea3663e0db97fcd4a2687ef2d47236dac28,0,0,0,0,0
07ad07b3e6307bc93b4abf80011e4630058b665e,0,0,0,0,0
07e372ce107507e12c04bcc938f1014a190c4912,0,0,0,0,0
07e92959da333f858fffbcb3d9598ccfe7d2da34,0,0,0,0,0
07ea328f3b14346960dc9ee5be834753bb1261e7,0,0,0,0,0
07ec88b88bba066163e7aa27228b6263ee506390,0,0,0,0,0
081412e435970d66e6a60e9406148323605d7171,0,0,0,0,0
08275ea9ddafd22b968c99f94db32c366a9b94d8,0,0,0,0,0
0890a8acfb73d35080feb74458c9792b1d57fe6f,0,0,0,0,0
08df63a437025893af3ef60b87a702ad20dac5a3,0,0,0,0,0
0943b6968f97bdcdb50614734e04244199588da6,0,0,0,0,0
09b4ed7da8e5f8780ea8d3123478d6b42be31dfc,0,0,0,0,0
09e50d9ada0f258798d3a9ae312d4783589e5fc9,0,0,0,0,0
0a0c86c5a3e9253c647297a0fdf9355262620f8b,0,0,0,0,0
0a223acab39e9b37cc0ec89b241874869c79cef9,0,0,0,0,0
0a25a12bcfb1bcee66a0fd936b305251082736ef,0,0,0,0,0
0a6152dbcfdcc0e8f2980179f6319d511d86e258,0,0,0,0,0
0a8af0671430846c40524d56d374035793d03247,0,0,0,0,0
0b01e6d23ead0ce43ee3cb719a84694cb634c84b,0,0,0,0,0
0b39b6b564a36e71f36a9b2da87e1d8b0edc1926,0,0,0,0,0
0b47e2144dc890d150c60a32986e2b130fa1e6ce,0,0,0,0,0
0b556c8ed912121e0574b62a5e41d68e771ed380,0,0,0,0,0
0ba0156e5105e73cdc1c9c6e0b247be99c8b8be7,0,0,0,0,0
0c272f5d8f6746d7b77b3d8dfff502c55b7b6612,0,0,0,0,0
0c970a83167a984294a4f45f714cc117adca3b91,0,0,0,0,0
0cdc764a2cf4f38e3b734dda222498daaae7762b,0,0,0,0,0
0cfbd5179035e5e22964b1fa9c764337cc816bc4,0,0,0,0,0
0d15d685fd32390bac5ba568a7ad5cac59313f78,0,0,0,0,0
0d1637e139b088cf1d9a114ca48a5676abca4161,0,0,0,0,0
0d2e3cdfa1c479f93d7d19008616c7331df1d4d1,0,0,0,0,0
0d33de20de638919329d55c90d8eeb6e6c05d8bf,0,0,0,0,0
0d8e8bb5db320bc6c7c048d0bed7b17a4e52fd4c,0,0,0,0,0
0da943ec51a642a6c551c33e260fac9702db1261,0,0,0,0,0
0dad250b74ae3fac96a6ea95da3908cff18481e3,0,0,0,0,0
0dbb48e484af46a1567888ee8cad187011cffe91,0,0,0,0,0
0dbff8419b10d05274f9ae806c3a80f4182e9533,0,0,0,0,0
0dc7aa83d132722c26c404bcc4c3beff84a4f6a9,0,0,0,0,0
0e43e7f0e72fd33f0fbf9cccf323f5075970ebb1,0,0,0,0,0
0e9ac91411adcd07930eec2cb5aca10edbcb5baf,0,0,0,0,0
0ebce7758de01efa31f6cb32923137d89af0eea0,0,0,0,0,0
0ecd111de63881bf6a1a5737ab588f514c96c70c,0,0,0,0,0
0eec26a488ff8052197a3b5390b418ac1c12ba6f,0,0,0,0,0
0f3cbf200b1576ec06958663630b1fe0296dc147,0,0,0,0,0
0f549457628a1f540d3d5940ac5d21ba5f258533,0,0,0,0,0
0f5bf82dcbb81f6291a8dc85ed6e306e15a1cbea,0,0,0,0,0
0f5c284178765d0a6d07ce07bf4fe33f92e06202,0,0,0,0,0
105b495562a154cbbcadcffad1064e8118242c74,0,0,0,0,0
107dd7197b90fdfbe1a98b86dadfa8bfac9bfedf,0,0,0,0,0
10b03eaffdc3304770628c87bda11e0267eed7eb,0,0,0,0,0
11066cccc8556d9216650f0e9b8a11bea7bda395,0,0,0,0,0
1146d6b4b5f38d1e47599fc43dc2416ab09a9c6b,0,0,0,0,0
115f11eb5f7d4ec8c9ed994f7a613024d7495529,0,0,0,0,0
1166f416e9abde5e66f0073ad84fab41e55d2f5f,0,0,0,0,0
117475559a39a6e0c91bc8146d3af16441445958,0,0,0,0,0
11cfaf6f1cb4d9e912f67fc7bba2dd20617a54e5,0,0,0,0,0
11ebf20c51938edb9f0bb485fdcb764dec79b720,0,0,0,0,0
11f2336ac02a445727c4c70267c96c26165e5160,0,0,0,0,0
12bfbc98cc72f5b4325559a389d68642841bb352,0,0,0,0,0
12d9b3e67591a19adb213cc10fce955b95975b59,0,0,0,0,0
12e3516097ebeb561a648ed3b80c84831b2373d5,0,0,0,0,0
1317a6c2be8b08e66c44be5fb0fa0abd95dc1122,0,0,0,0,0
13299c54cb74ce4c8714de5e4a9bccbb9a556f96,0,0,0,0,0
13451413c35a1bcc624706c98bcb353fd910f62a,0,0,0,0,0
141df8d7c9720327fef3166a4946149d4597520a,0,0,0,0,0
144800063ce42c96dfa9cdddd36d622159cef6fa,0,0,0,0,0
145d0710b6bb3db5a6f1bb4781468967ab8f363b,0,0,0,0,0
1490e2b0c8e2ce49cc21aedb335c55c4b8df719a,0,0,0,0,0
14fcb47517af5bcf9fefb157fcef1ba616a7c081,0,0,0,0,0
1531d5b6c12ec1d135669ae9484671aea15423d6,0,0,0,0,0
15881754e95674ca3089e2c229cf14ca385993e1,0,0,0,0,0
158cc5c81fe5b29eacb35b95b6e0e56d09d8e758,0,0,0,0,0
159224fc313fc2d9b3ef32df8c20c53fb98725a2,0,0,0,0,0
15b073c6c1159056affcb7b1d5fd094d2fa178d5,0,0,0,0,0
15e01f45d706c15014d706a000efc2548eb33980,0,0,0,0,0
15e5a9271c80e1c7161e468adfb58a694c737ae8,0,0,0,0,0
1641eb85255f102592a85d3cba2cb9cacb8b4051,0,0,0,0,0
167e0483268b98bf5fe1a5aad41cd95eac382f0f,0,0,0,0,0
16a0e237108278566224aab63145df19b683c705,0,0,0,0,0
16a56f26b6f696151809e0cb26b75093ec47a58d,0,0,0,0,0
16b770f6de7ce9481b84051fc4e124b792695910,0,0,0,0,0
17aafba88458bfd29ddf9b7cbd159c191f7a1118,0,0,0,0,0
